sex,year,suicides_no
FeMale,1985,32479
FeMale,1986,33852
FeMale,1987,35006
FeMale,1988,33015
FeMale,1989,41361
FeMale,1990,50118
FeMale,1991,49622
FeMale,1992,51567
FeMale,1993,51331
FeMale,1994,51532
FeMale,1995,54504
FeMale,1996,54583
FeMale,1997,54126
FeMale,1998,55631
FeMale,1999,56215
FeMale,2000,55254
FeMale,2001,52999
FeMale,2002,55549
FeMale,2003,55627
FeMale,2004,53232
FeMale,2005,52035
FeMale,2006,52039
FeMale,2007,53324
FeMale,2008,53973
FeMale,2009,54920
FeMale,2010,54222
FeMale,2011,54616
FeMale,2012,53011
FeMale,2013,51459
FeMale,2014,51556
FeMale,2015,47248
FeMale,2016,3504
Male,1985,83584
Male,1986,86818
Male,1987,91836
Male,1988,88011
Male,1989,118883
Male,1990,143243
Male,1991,148398
Male,1992,159906
Male,1993,170234
Male,1994,180531
Male,1995,189040
Male,1996,192142
Male,1997,186619
Male,1998,193960
Male,1999,199904
Male,2000,200578
Male,2001,197653
Male,2002,200546
Male,2003,200452
Male,2004,187629
Male,2005,182340
Male,2006,181322
Male,2007,180084
Male,2008,181474
Male,2009,188567
Male,2010,184480
Male,2011,181868
Male,2012,177149
Male,2013,171740
Male,2014,171428
Male,2015,156392
Male,2016,12099
